,starttime_day,usertype,tripduration,tripdistance
6,2015-04-07,16262,700.4281761160988,0.9836771754001351
7,2015-04-08,17872,830.9214413607879,0.980461023745075
8,2015-04-09,16546,707.6982352230146,0.9727665822674403
9,2015-04-10,16317,738.7840902126617,1.0033267852246424
10,2015-04-11,18643,986.277101324894,1.048015746805078
11,2015-04-12,19954,1146.0461060439009,1.0858411480888008
12,2015-04-13,24925,909.5039518555667,1.1091325150182516
13,2015-04-14,22703,757.5688675505439,1.0430790794204612
14,2015-04-15,27594,974.1883018047401,1.1012251170310612
15,2015-04-16,27180,808.0645695364238,1.0769322531850154
16,2015-04-17,24175,905.2276732161324,1.0671286277778647
17,2015-04-18,28174,1330.0003904308937,1.1469083146155161
18,2015-04-19,21475,1087.7660069848662,1.068638350949667
19,2015-04-20,11202,719.0628459203714,1.0020996713097725
