pickup_datetime,Unnamed: 0,passenger_count,tripduration,tripdistance,scaled_count
2018-07-20,19,74542,1068.5084918569396,1.1763728188456093,1.5366688869362164
2018-07-21,20,53655,1276.8062622309199,1.1696338888811728,0.5151917074715066
2018-07-22,21,44285,1034.7664446200743,1.0853299597889552,0.0569525552914745
2018-07-23,22,53077,951.5423441415303,1.1006113176018786,0.48692466051739147
2018-07-24,23,69755,906.6130313239197,1.15213177718391,1.302561008442533
2018-07-25,24,42990,919.2303326354968,1.0396915924385457,-0.00637932326489066
2018-07-26,25,71046,944.9745657742869,1.1616365244857847,1.3656972672967935
2018-07-27,26,49221,890.9407366774344,1.0921431978799303,0.29834726768855435
2018-07-28,27,61547,1155.5444294604124,1.1531869215181971,0.901149379723888
2018-07-29,28,63480,1253.1323724007561,1.1596794272136908,0.9956826007659373
2018-07-30,29,69497,921.3649222268589,1.1682466638804678,1.289943537656786
2018-07-31,30,76277,1004.0718040824887,1.1837393294921434,1.6215189327240878
2018-08-01,0,64462,935.8500822189816,1.1271927713174952,1.0437072376326173
2018-08-02,1,69705,909.861975468044,1.143363157721632,1.3001157621662254
2018-08-03,2,61958,947.4069530972597,1.1216126709480865,0.9212493041151358
2018-08-04,3,51200,1198.79251953125,1.1328061721935263,0.39513011530480663
2018-08-05,4,58381,1316.7524023226736,1.1133166686200409,0.7463163855080948
2018-08-06,5,65677,956.2418959453081,1.1313998015291746,1.1031267221468903
2018-08-07,6,64346,984.683274795636,1.1231765987493991,1.0380342662715838
2018-08-08,7,70573,948.2782933983252,1.1431718433422675,1.3425652375229242
2018-08-09,8,71942,1026.788802090573,1.136315478814874,1.4095160805682245
2018-08-10,9,69599,956.853834106812,1.1330933695862675,1.2949318400604535
2018-08-11,10,36607,1050.5842871581938,1.0779426027001544,-0.3185394628983106
2018-08-12,11,59835,1311.1316119328153,1.1299994438440388,0.817424147223118
2018-08-13,12,44251,862.5257282321303,1.1120399747852912,0.055289787823585373
2018-08-14,13,63686,1019.7218069905473,1.1407836975630257,1.0057570154243243
2018-08-15,14,73112,981.0090546011598,1.1686122812383826,1.4667348434338208
2018-08-16,15,70806,1007.1432929412763,1.14812749401259,1.3539600851705174
2018-08-17,16,63303,899.7636130989051,1.1095217821547496,0.9870264289478086
2018-08-18,17,57278,1223.9687139914106,1.1911446611658172,0.6923742526527505
2018-08-19,18,45870,1083.4474166121647,1.0843445079313068,0.13446686225042337
2018-08-20,19,67565,1018.7469251831567,1.1738724421626865,1.1954592215402629
2018-08-21,20,75184,952.3587465418174,1.1776490730552145,1.5680658491240052
2018-08-22,21,72602,947.0397234235973,1.168628342141489,1.441793331415484
2018-08-23,22,73828,1009.4426233949181,1.1715111287940414,1.5017507701105448
2018-08-24,23,72880,966.5688529088915,1.1605418896533106,1.4553889007117538
2018-08-25,24,64685,1293.3702867743682,1.1800528230431768,1.0546130360249488
2018-08-26,25,60953,1238.6374583695635,1.1587802417755768,0.8720998539613544
2018-08-27,26,67622,955.417704297418,1.1468305114033948,1.1982468022952535
2018-08-28,27,66609,879.7056253659415,1.1214376628973954,1.1487061127372629
2018-08-29,28,65887,894.6840499643329,1.1040751453457889,1.113396756507382
2018-08-30,29,67877,888.2529722881094,1.1118631925885296,1.2107175583044218
2018-08-31,30,58894,867.2177980779027,1.0888650724573852,0.7714046123030102
2018-09-01,0,54323,1287.9419030613185,1.148758270868873,0.5478601977229752
2018-09-02,1,60812,1315.32899756627,1.153098869871553,0.8652042594621672
2018-09-03,2,55052,1267.5741299135366,1.109898719694193,0.5835118884315391
2018-09-04,3,68628,925.1199073264556,1.1240642208197298,1.247445157374561
2018-09-05,4,74963,964.5078105198564,1.1354408292991904,1.5572578605827259
2018-09-06,5,70244,836.0193326120379,1.0890256709156414,1.3264755170248206
2018-09-07,6,74582,953.0128449223672,1.1332509097027157,1.5386250839572624
2018-09-08,7,58286,1091.1960333527775,1.0951744712477434,0.7416704175831105
2018-09-09,8,19950,975.1669674185464,0.9674583062646936,-1.1331488073874028
2018-09-10,9,23944,791.5327430671567,0.980219979947814,-0.9378225348359569
2018-09-11,10,66536,897.5813694841889,1.1251442770787707,1.1451360531738537
2018-09-12,11,53216,791.1318588394467,1.070974310971623,0.49372244516552644
2018-09-13,12,74038,882.1314190010535,1.1301226883040103,1.5120208044710364
