pickup_datetime,Borough,passenger_count,trip_distance
1/22/2016,UNKNOWN,353525,0
1/23/2016,UNKNOWN,84680,0
1/24/2016,UNKNOWN,153319,0
1/25/2016,UNKNOWN,272528,0
1/26/2016,UNKNOWN,294591,0
1/27/2016,UNKNOWN,299536,0
1/28/2016,UNKNOWN,314311,0
1/29/2016,UNKNOWN,354874,0
1/30/2016,UNKNOWN,356005,0
1/31/2016,UNKNOWN,293122,0
2/1/2016,UNKNOWN,268872,0
2/2/2016,UNKNOWN,275915,0
2/3/2016,UNKNOWN,321971,0
2/4/2016,UNKNOWN,312912,0
2/5/2016,UNKNOWN,350825,0
2/6/2016,UNKNOWN,340393,0
2/7/2016,UNKNOWN,304803,0
2/8/2016,UNKNOWN,286167,0
2/9/2016,UNKNOWN,291792,0
2/10/2016,UNKNOWN,315306,0
2/11/2016,UNKNOWN,369519,0
2/12/2016,UNKNOWN,391964,0
2/13/2016,UNKNOWN,417186,0
2/14/2016,UNKNOWN,388224,0
2/15/2016,UNKNOWN,286859,0
2/16/2016,UNKNOWN,312839,0
2/17/2016,UNKNOWN,305529,0
2/18/2016,UNKNOWN,332941,0
2/19/2016,UNKNOWN,358918,0
2/20/2016,UNKNOWN,345382,0
2/21/2016,UNKNOWN,302549,0
2/22/2016,UNKNOWN,281686,0
2/23/2016,UNKNOWN,338565,0
2/24/2016,UNKNOWN,358849,0
2/25/2016,UNKNOWN,336480,0
2/26/2016,UNKNOWN,366793,0
2/27/2016,UNKNOWN,354946,0
2/28/2016,UNKNOWN,299653,0
2/29/2016,UNKNOWN,280132,0
3/1/2016,UNKNOWN,287685,0
3/2/2016,UNKNOWN,318476,0
3/3/2016,UNKNOWN,336838,0
3/4/2016,UNKNOWN,367030,0
3/5/2016,UNKNOWN,351386,0
3/6/2016,UNKNOWN,300941,0
3/7/2016,UNKNOWN,278546,0
3/8/2016,UNKNOWN,287535,0
3/9/2016,UNKNOWN,296904,0
3/10/2016,UNKNOWN,316274,0
3/11/2016,UNKNOWN,343973,0
3/12/2016,UNKNOWN,341409,0
3/13/2016,UNKNOWN,286790,0
3/14/2016,UNKNOWN,324452,0
3/15/2016,UNKNOWN,295580,0
3/16/2016,UNKNOWN,312474,0
3/17/2016,UNKNOWN,326747,0
3/18/2016,UNKNOWN,349425,0
3/19/2016,UNKNOWN,346651,0
3/20/2016,UNKNOWN,308147,0
3/21/2016,UNKNOWN,283918,0
3/22/2016,UNKNOWN,292926,0
3/23/2016,UNKNOWN,305999,0
3/24/2016,UNKNOWN,330120,0
3/25/2016,UNKNOWN,326047,0
3/26/2016,UNKNOWN,328008,0
3/27/2016,UNKNOWN,295796,0
3/28/2016,UNKNOWN,292280,0
3/29/2016,UNKNOWN,291040,0
3/30/2016,UNKNOWN,301361,0
3/31/2016,UNKNOWN,299829,0
4/1/2016,UNKNOWN,365034,0
4/2/2016,UNKNOWN,370508,0
4/3/2016,UNKNOWN,331103,0
4/4/2016,UNKNOWN,344697,0
4/5/2016,UNKNOWN,339446,0
4/6/2016,UNKNOWN,340218,0
4/7/2016,UNKNOWN,358666,0
4/8/2016,UNKNOWN,387714,0
4/9/2016,UNKNOWN,408242,0
4/10/2016,UNKNOWN,327340,0
4/11/2016,UNKNOWN,308504,0
4/12/2016,UNKNOWN,330521,0
4/13/2016,UNKNOWN,329095,0
4/14/2016,UNKNOWN,353200,0
4/15/2016,UNKNOWN,380037,0
4/16/2016,UNKNOWN,379054,0
4/17/2016,UNKNOWN,326179,0
4/18/2016,UNKNOWN,300259,0
4/19/2016,UNKNOWN,309634,0
4/20/2016,UNKNOWN,328013,0
4/21/2016,UNKNOWN,339177,0
4/22/2016,UNKNOWN,352083,0
4/23/2016,UNKNOWN,354857,0
4/24/2016,UNKNOWN,305723,0
4/25/2016,UNKNOWN,281621,0
4/26/2016,UNKNOWN,310235,0
4/27/2016,UNKNOWN,312641,0
4/28/2016,UNKNOWN,336882,0
4/29/2016,UNKNOWN,370835,0
4/30/2016,UNKNOWN,360844,0
5/1/2016,UNKNOWN,332890,0
5/2/2016,UNKNOWN,311540,0
5/3/2016,UNKNOWN,358941,0
5/4/2016,UNKNOWN,362678,0
5/5/2016,UNKNOWN,387835,0
5/6/2016,UNKNOWN,444608,0
5/7/2016,UNKNOWN,386698,0
5/8/2016,UNKNOWN,344622,0
5/9/2016,UNKNOWN,304855,0
5/10/2016,UNKNOWN,323602,0
5/11/2016,UNKNOWN,334096,0
5/12/2016,UNKNOWN,360236,0
5/13/2016,UNKNOWN,398217,0
5/14/2016,UNKNOWN,393706,0
5/15/2016,UNKNOWN,351886,0
5/16/2016,UNKNOWN,321581,0
5/17/2016,UNKNOWN,342808,0
5/18/2016,UNKNOWN,349789,0
5/19/2016,UNKNOWN,362722,0
5/20/2016,UNKNOWN,381751,0
5/21/2016,UNKNOWN,398643,0
5/22/2016,UNKNOWN,325321,0
5/23/2016,UNKNOWN,309012,0
5/24/2016,UNKNOWN,334745,0
5/25/2016,UNKNOWN,344434,0
5/26/2016,UNKNOWN,358272,0
5/27/2016,UNKNOWN,366213,0
5/28/2016,UNKNOWN,353971,0
5/29/2016,UNKNOWN,315558,0
5/30/2016,UNKNOWN,274150,0
5/31/2016,UNKNOWN,317188,0
6/1/2016,UNKNOWN,336213,0
6/2/2016,UNKNOWN,365528,0
6/3/2016,UNKNOWN,394452,0
6/4/2016,UNKNOWN,396390,0
6/5/2016,UNKNOWN,341566,0
6/6/2016,UNKNOWN,331990,0
6/7/2016,UNKNOWN,354809,0
6/8/2016,UNKNOWN,396776,0
6/9/2016,UNKNOWN,382190,0
6/10/2016,UNKNOWN,395615,0
6/11/2016,UNKNOWN,396999,0
6/12/2016,UNKNOWN,336850,0
6/13/2016,UNKNOWN,310265,0
6/14/2016,UNKNOWN,337005,0
6/15/2016,UNKNOWN,358610,0
6/16/2016,UNKNOWN,384562,0
6/17/2016,UNKNOWN,391588,0
6/18/2016,UNKNOWN,386379,0
6/19/2016,UNKNOWN,337114,0
6/20/2016,UNKNOWN,319973,0
6/21/2016,UNKNOWN,343723,0
6/22/2016,UNKNOWN,360642,0
6/23/2016,UNKNOWN,380170,0
6/24/2016,UNKNOWN,397252,0
6/25/2016,UNKNOWN,402625,0
6/26/2016,UNKNOWN,349019,0
6/27/2016,UNKNOWN,343179,0
6/28/2016,UNKNOWN,345267,0
6/29/2016,UNKNOWN,344952,0
6/30/2016,UNKNOWN,348553,0
7/1/2016,UNKNOWN,376207,0
7/2/2016,UNKNOWN,326386,0
7/3/2016,UNKNOWN,303506,0
7/4/2016,UNKNOWN,265133,0
7/5/2016,UNKNOWN,308347,0
7/6/2016,UNKNOWN,320082,0
7/7/2016,UNKNOWN,350879,0
7/8/2016,UNKNOWN,376455,0
7/9/2016,UNKNOWN,374675,0
7/10/2016,UNKNOWN,327276,0
7/11/2016,UNKNOWN,309193,0
7/12/2016,UNKNOWN,329957,0
7/13/2016,UNKNOWN,363784,0
7/14/2016,UNKNOWN,381844,0
7/15/2016,UNKNOWN,400760,0
7/16/2016,UNKNOWN,398331,0
7/17/2016,UNKNOWN,348867,0
7/18/2016,UNKNOWN,342680,0
7/19/2016,UNKNOWN,340079,0
7/20/2016,UNKNOWN,354964,0
7/21/2016,UNKNOWN,377089,0
7/22/2016,UNKNOWN,414036,0
7/23/2016,UNKNOWN,412441,0
7/24/2016,UNKNOWN,354567,0
7/25/2016,UNKNOWN,359247,0
7/26/2016,UNKNOWN,353534,0
7/27/2016,UNKNOWN,364033,0
7/28/2016,UNKNOWN,384424,0
7/29/2016,UNKNOWN,418171,0
7/30/2016,UNKNOWN,425628,0
7/31/2016,UNKNOWN,355318,0
8/1/2016,UNKNOWN,325627,0
8/2/2016,UNKNOWN,336761,0
8/3/2016,UNKNOWN,347141,0
8/4/2016,UNKNOWN,364408,0
8/5/2016,UNKNOWN,387117,0
8/6/2016,UNKNOWN,390158,0
8/7/2016,UNKNOWN,341906,0
8/8/2016,UNKNOWN,313093,0
8/9/2016,UNKNOWN,338092,0
8/10/2016,UNKNOWN,360027,0
8/11/2016,UNKNOWN,393203,0
8/12/2016,UNKNOWN,423132,0
8/13/2016,UNKNOWN,426756,0
8/14/2016,UNKNOWN,365238,0
8/15/2016,UNKNOWN,337098,0
8/16/2016,UNKNOWN,360143,0
8/17/2016,UNKNOWN,363077,0
8/18/2016,UNKNOWN,376700,0
8/19/2016,UNKNOWN,401725,0
8/20/2016,UNKNOWN,398640,0
8/21/2016,UNKNOWN,366757,0
8/22/2016,UNKNOWN,318245,0
8/23/2016,UNKNOWN,333869,0
8/24/2016,UNKNOWN,350549,0
8/25/2016,UNKNOWN,373210,0
8/26/2016,UNKNOWN,401125,0
8/27/2016,UNKNOWN,411492,0
8/28/2016,UNKNOWN,369582,0
8/29/2016,UNKNOWN,331417,0
8/30/2016,UNKNOWN,339327,0
8/31/2016,UNKNOWN,360090,0
9/1/2016,UNKNOWN,382092,0
9/2/2016,UNKNOWN,382826,0
9/3/2016,UNKNOWN,380735,0
9/4/2016,UNKNOWN,359063,0
9/5/2016,UNKNOWN,306116,0
9/6/2016,UNKNOWN,355915,0
9/7/2016,UNKNOWN,370958,0
9/8/2016,UNKNOWN,407228,0
9/9/2016,UNKNOWN,452249,0
9/10/2016,UNKNOWN,474635,0
9/11/2016,UNKNOWN,393872,0
9/12/2016,UNKNOWN,346111,0
9/13/2016,UNKNOWN,366344,0
9/14/2016,UNKNOWN,390128,0
9/15/2016,UNKNOWN,403497,0
9/16/2016,UNKNOWN,439465,0
9/17/2016,UNKNOWN,453741,0
9/18/2016,UNKNOWN,397760,0
9/19/2016,UNKNOWN,346398,0
9/20/2016,UNKNOWN,357448,0
9/21/2016,UNKNOWN,359311,0
9/22/2016,UNKNOWN,387441,0
9/23/2016,UNKNOWN,426816,0
9/24/2016,UNKNOWN,463454,0
9/25/2016,UNKNOWN,391841,0
9/26/2016,UNKNOWN,344150,0
9/27/2016,UNKNOWN,369338,0
9/28/2016,UNKNOWN,391905,0
9/29/2016,UNKNOWN,411788,0
9/30/2016,UNKNOWN,476802,0
10/1/2016,UNKNOWN,437328,0
10/2/2016,UNKNOWN,382206,0
10/3/2016,UNKNOWN,314134,0
10/4/2016,UNKNOWN,335843,0
10/5/2016,UNKNOWN,376877,0
10/6/2016,UNKNOWN,408641,0
10/7/2016,UNKNOWN,423088,0
10/8/2016,UNKNOWN,471318,0
10/9/2016,UNKNOWN,415904,0
10/10/2016,UNKNOWN,325232,0
10/11/2016,UNKNOWN,340464,0
10/12/2016,UNKNOWN,324452,0
10/13/2016,UNKNOWN,404169,0
10/14/2016,UNKNOWN,440727,0
10/15/2016,UNKNOWN,464922,0
10/16/2016,UNKNOWN,403485,0
10/17/2016,UNKNOWN,342410,0
10/18/2016,UNKNOWN,359739,0
10/19/2016,UNKNOWN,390362,0
10/20/2016,UNKNOWN,416613,0
10/21/2016,UNKNOWN,487689,0
10/22/2016,UNKNOWN,511821,0
10/23/2016,UNKNOWN,415773,0
10/24/2016,UNKNOWN,354282,0
10/25/2016,UNKNOWN,393213,0
10/26/2016,UNKNOWN,414788,0
10/27/2016,UNKNOWN,494932,0
10/28/2016,UNKNOWN,494333,0
10/29/2016,UNKNOWN,529010,0
10/30/2016,UNKNOWN,471743,0
10/31/2016,UNKNOWN,374093,0
11/1/2016,UNKNOWN,387986,0
11/2/2016,UNKNOWN,388804,0
11/3/2016,UNKNOWN,434862,0
11/4/2016,UNKNOWN,459520,0
11/5/2016,UNKNOWN,482095,0
11/6/2016,UNKNOWN,395450,0
11/7/2016,UNKNOWN,372146,0
11/8/2016,UNKNOWN,365860,0
11/9/2016,UNKNOWN,415854,0
11/10/2016,UNKNOWN,418606,0
11/11/2016,UNKNOWN,456164,0
11/12/2016,UNKNOWN,491405,0
11/13/2016,UNKNOWN,419595,0
11/14/2016,UNKNOWN,356661,0
11/15/2016,UNKNOWN,418716,0
11/16/2016,UNKNOWN,388797,0
11/17/2016,UNKNOWN,416286,0
11/18/2016,UNKNOWN,443891,0
11/19/2016,UNKNOWN,486588,0
11/20/2016,UNKNOWN,452911,0
11/21/2016,UNKNOWN,412670,0
11/22/2016,UNKNOWN,431609,0
11/23/2016,UNKNOWN,431748,0
11/24/2016,UNKNOWN,369520,0
11/25/2016,UNKNOWN,345706,0
11/26/2016,UNKNOWN,389512,0
