pickup_datetime,passenger_count,trip_distance
2015-09-07,551879,6.8803339470000004
2015-09-08,677317,5.9777996170000005
2015-09-09,715729,22.822881652
2015-09-10,734359,18.215230808
2015-09-11,762507,6.74660469
2015-09-12,846874,5.961243047
2015-09-13,739131,6.419870137
2015-09-14,630987,74.576261727
2015-09-15,682139,7.765198878
2015-09-16,724198,5.85696036
2015-09-17,745525,5.909463746
2015-09-18,792620,5.939180928000001
2015-09-19,864379,24.122667385
2015-09-20,761211,6.513864366
2015-09-21,646462,6.067507936
2015-09-22,657830,5.665025167
2015-09-23,656152,5.815033243
2015-09-24,583532,6.060551500000001
2015-09-25,688536,5.881044961000001
2015-09-26,838766,5.981133547000001
2015-09-27,727568,6.59813411
2015-09-28,590723,6.342746118999999
2015-09-29,649501,5.774609160000001
2015-09-30,691164,5.769527303
2015-10-01,722975,13.366378521
2015-10-02,778364,5.444293206999999
2015-10-03,800897,9.722260301999999
2015-10-04,701004,6.2951343909999995
2015-10-05,621547,9.813623154
2015-10-06,670337,13.769782103999999
2015-10-07,700502,5.822875569
2015-10-08,739428,5.874326771
2015-10-09,750452,5.86452726
2015-10-10,842150,5.95212886
2015-10-11,733784,6.459186612
2015-10-12,598912,6.4085631439999995
2015-10-13,679959,5.914811897
2015-10-14,703939,5.789433847
2015-10-15,735987,13.214759998999998
2015-10-16,793905,5.834649826
2015-10-17,892367,5.828763827
2015-10-18,768198,6.29653209
2015-10-19,659797,5.917418494
2015-10-20,677971,5.744082325
2015-10-21,700813,5.765838973
2015-10-22,740434,9.200411232
2015-10-23,793022,5.8204649790000005
2015-10-24,852487,12.796834887
2015-10-25,745595,6.389584098
2015-10-26,642842,5.966199666
2015-10-27,684113,5.623403485
2015-10-28,704933,5.418988797000001
2015-10-29,730475,5.861215416
2015-10-30,803539,5.792764129
2015-10-31,872615,5.985206196
2015-11-01,772235,6.6194330830000006
2015-11-02,625287,6.964297825999999
2015-11-03,652130,5.7334930889999995
2015-11-04,687688,5.6594577269999995
2015-11-05,727254,7.050539808
2015-11-06,772721,33.958067527
2015-11-07,863381,5.753346048
2015-11-08,752126,15.028348092
2015-11-09,631971,52.652095451
2015-11-10,678433,14.412622829
2015-11-11,664870,5.77104882
2015-11-12,729713,22.230071982000002
2015-11-13,789824,5.683413389
2015-11-14,870168,5.724348908
2015-11-15,731985,6.408460331000001
2015-11-16,617816,6.023578754000001
2015-11-17,681328,5.57738592
2015-11-18,694389,5.685868226
2015-11-19,721026,5.526794524
2015-11-20,779832,5.863148425
2015-11-21,853330,5.777770933999999
2015-11-22,721915,38.02172994
2015-11-23,661090,5.463942422000001
2015-11-24,678671,9.136093357
2015-11-25,672557,560.433982114
2015-11-26,493198,23.748563241
2015-11-27,540299,11.621480286
2015-11-28,677418,20.821772327999998
2015-11-29,639432,6.26706688
2015-11-30,620798,15.618774453
2015-12-01,673816,5.588934054999999
2015-12-02,681053,5.611469655
2015-12-03,747488,9.478411773
2015-12-04,793447,5.750773376
2015-12-05,873914,57.156285249999996
2015-12-06,760097,6.238313452
2015-12-07,664274,5.83251817
2015-12-08,682750,9.986028852
2015-12-09,701987,5.68201484
2015-12-10,733944,5.821777053
2015-12-11,792527,5.8235396260000005
2015-12-12,852699,5.780912151
2015-12-13,729385,6.304983953000001
2015-12-14,666537,5.648679937000001
2015-12-15,708964,5.742835234999999
2015-12-16,751820,5.608048814
2015-12-17,765107,5.675613139999999
2015-12-18,852441,5.7103485339999995
2015-12-19,901167,5.758861608
2015-12-20,750569,6.006282606999999
2015-12-21,635978,5.769835743
2015-12-22,654941,5.737103421
2015-12-23,641646,5.740331176
2015-12-24,589413,5.820258123
2015-12-25,391189,6.485115165
2015-12-26,482105,5.953612758
2015-12-27,532684,6.306736738
2015-12-28,576303,6.1506729799999995
2015-12-29,589558,5.705126718000001
2015-12-30,615274,5.746915244
2015-12-31,684676,5.68574599
2016-01-01,709820,6.498954231000001
2016-01-02,620360,5.918226463
2016-01-03,586837,6.339156826
2016-01-04,580140,32.879956153
2016-01-05,617549,10.324642864000001
2016-01-06,629858,5.4411651370000005
2016-01-07,656176,5.506412616
2016-01-08,720172,5.457696326000001
2016-01-09,776986,5.582763356999999
2016-01-10,669685,6.026870308
2016-01-11,612074,5.559450463999999
2016-01-12,655515,5.361520511
2016-01-13,705523,5.269872565
2016-01-14,708587,5.576786027
2016-01-15,733802,5.746636856
2016-01-16,794187,5.730550496
2016-01-17,728585,5.883909637
2016-01-18,626796,5.708753256
2016-01-19,687030,5.398796948
2016-01-20,681852,5.467448005
2016-01-21,716720,11.561732545
2016-01-22,768258,5.378731578
2016-01-23,147658,5.508106688
2016-01-24,309207,5.736721902999999
2016-01-25,521947,6.001259784
2016-01-26,595672,5.689673634
2016-01-27,647429,5.445188743
2016-01-28,691750,22.034202731999997
2016-01-29,760648,5.451210433
2016-01-30,840785,5.520016142
2016-01-31,688589,6.090875173000001
2016-02-01,609103,5.67281568
2016-02-02,647184,5.389602593999999
2016-02-03,666477,6.076729685
2016-02-04,705227,5.499500879999999
2016-02-05,748297,6.826611162999999
2016-02-06,822198,13.498101661
2016-02-07,717319,6.055375296999999
2016-02-08,613041,-4.319552713
2016-02-09,652096,5.334702939
2016-02-10,701321,5.354387818999999
2016-02-11,781585,5.323329133
2016-02-12,799214,6.62371634
2016-02-13,869184,47.636800134000005
2016-02-14,774119,9.384211303
2016-02-15,648349,5.7407701499999995
2016-02-16,650672,6.137243844
2016-02-17,691610,5.564034077
2016-02-18,738940,6.191214664
2016-02-19,773273,7.353346985
2016-02-20,819092,5.76863088
2016-02-21,712214,6.174393155000001
2016-02-22,615972,5.730871256
2016-02-23,709010,5.955570076
2016-02-24,715344,5.256493710000001
2016-02-25,740139,9.934360567
2016-02-26,798266,5.48939045
2016-02-27,848292,5.59661972
2016-02-28,696968,6.270068817
2016-02-29,618249,5.809140812999999
2016-03-01,662262,18.900643524
2016-03-02,725563,5.353989695
2016-03-03,767542,5.470500187
2016-03-04,791607,5.510671180999999
2016-03-05,869535,5.612079681000001
2016-03-06,730721,6.1521488259999995
2016-03-07,617181,61.128279378
2016-03-08,661843,5.54868317
2016-03-09,685958,5.664549378999999
2016-03-10,729062,5.79106274
2016-03-11,777692,5.759797484
2016-03-12,855120,6.464180073
2016-03-13,695435,6.359566666999999
2016-03-14,685580,11.798566253
2016-03-15,678404,5.595278234
2016-03-16,713339,7.670167727000001
2016-03-17,726711,6.5786002969999995
2016-03-18,801207,5.737942158999999
2016-03-19,848136,5.751095308
2016-03-20,741739,8.447966461
2016-03-21,616606,6.479258115
2016-03-22,659264,5.658431629
2016-03-23,685199,5.6974843150000005
2016-03-24,742943,5.714259364
2016-03-25,748496,5.849174335
2016-03-26,792222,27.964053336
2016-03-27,671937,6.298793619
2016-03-28,621248,6.682772185999999
2016-03-29,681056,6.312618229
2016-03-30,694661,5.642201208
2016-03-31,714257,5.768960764
2016-04-01,761279,5.694349108999999
2016-04-02,856371,5.679584383
2016-04-03,749088,6.060140956000001
2016-04-04,670928,6.282945538
2016-04-05,715016,27.092863473
2016-04-06,711145,5.513691106
2016-04-07,731252,5.615442404
2016-04-08,804592,5.6651447820000005
2016-04-09,881823,5.597973421
2016-04-10,744730,6.293018792
2016-04-11,633942,5.884129989
2016-04-12,694293,6.12818178
2016-04-13,701970,6.30947332
2016-04-14,744331,5.8748027
2016-04-15,791731,5.727174806
2016-04-16,875618,5.855849015
2016-04-17,754752,6.400889949
2016-04-18,634100,8.307560804
2016-04-19,672686,5.610840473
2016-04-20,701637,5.623802628
2016-04-21,693016,5.752166326
2016-04-22,714667,5.845315082
2016-04-23,762224,5.828451709
2016-04-24,686084,6.358279092
2016-04-25,593931,6.027891803999999
2016-04-26,662330,5.534621405
2016-04-27,669074,5.694807391
2016-04-28,717551,5.751827115
2016-04-29,763000,5.667541545
2016-04-30,814354,9.90667934
2016-05-01,725929,6.223297486
2016-05-02,634467,5.939212017
2016-05-03,712189,5.527899768999999
2016-05-04,724419,6.728184451
2016-05-05,763352,13.616843785
2016-05-06,800945,5.715749658
2016-05-07,834176,5.81759953
2016-05-08,717436,7.088495057
2016-05-09,621419,6.069037284
2016-05-10,666737,5.632745251999999
2016-05-11,681115,5.7103462050000005
2016-05-12,718040,6.608596042
2016-05-13,729310,5.8039923380000005
2016-05-14,841752,12.909249540000001
2016-05-15,778431,7.06677804
2016-05-16,676842,5.998817301
2016-05-17,713834,6.018509914
2016-05-18,689850,5.943746161
2016-05-19,735341,14.205186714
2016-05-20,761418,5.961629982
2016-05-21,841969,6.045427885
2016-05-22,703660,8.090745091999999
2016-05-23,617030,5.967440128
2016-05-24,660635,7.0132780729999995
2016-05-25,690108,5.717952394999999
2016-05-26,698718,36.709712446000005
2016-05-27,673417,5.89233316
2016-05-28,651886,42.411276977
2016-05-29,590606,6.368805342
2016-05-30,499085,6.686753640999999
2016-05-31,609725,5.896357325
2016-06-01,661523,5.647994013
2016-06-02,706762,5.67314093
2016-06-03,736202,5.758773111
2016-06-04,815754,5.954479256999999
2016-06-05,674288,6.329724141
2016-06-06,633662,6.097887878
2016-06-07,669158,5.6311362460000005
2016-06-08,685484,5.590369395
2016-06-09,703292,5.860007423000001
2016-06-10,730297,5.832672488
2016-06-11,748165,5.881810445
2016-06-12,632158,6.458124295
2016-06-13,607304,5.9656111119999995
2016-06-14,646136,5.757916519
2016-06-15,683568,5.725906024
2016-06-16,712639,5.8057288389999995
2016-06-17,711213,5.891575897000001
2016-06-18,717825,5.99461908
2016-06-19,635555,6.470170775
2016-06-20,600063,5.95499252
2016-06-21,648922,5.668408818
2016-06-22,668073,5.720310813
2016-06-23,698540,5.751359239999999
2016-06-24,711098,5.882727569
2016-06-25,749609,6.06159357
2016-06-26,640454,6.607973298999999
2016-06-27,644096,5.956400307
2016-06-28,615105,5.6635533119999995
2016-06-29,633546,5.795326799
2016-06-30,642495,6.124030663999999
2016-07-01,600857,60.03522541299999
2016-07-02,523107,53.826216507000005
2016-07-03,462324,77.598753329
2016-07-04,445382,50.757472412
2016-07-05,534858,61.673699868
2016-07-06,539721,58.218139647
2016-07-07,623556,44.734843192
2016-07-08,638089,45.438057838
2016-07-09,644563,59.774356697
2016-07-10,579404,73.881470995
2016-07-11,547213,51.993090651
2016-07-12,607027,53.635783497999995
2016-07-13,658852,43.278366268
2016-07-14,673019,53.996632913000006
2016-07-15,685713,61.044726268000005
2016-07-16,683067,48.65077514699999
2016-07-17,627603,56.51357792
2016-07-18,590467,49.61840293099999
2016-07-19,612453,48.589775545
2016-07-20,638853,53.837712016
2016-07-21,652105,57.735345631
2016-07-22,690234,53.984872159000005
2016-07-23,692422,44.178129279000004
2016-07-24,618473,55.465992121
2016-07-25,576905,42.62657624
2016-07-26,626570,159.587246677
2016-07-27,645138,47.994221886000005
2016-07-28,666142,46.25867633200001
2016-07-29,662847,63.789435008000005
2016-07-30,670405,49.32300181800001
2016-07-31,587567,112.28337446500001
2016-08-01,556237,48.503135232000005
2016-08-02,594419,67.114465581
2016-08-03,611399,141.786265382
2016-08-04,638699,93.470786557
2016-08-05,635591,47.82426506
2016-08-06,634999,67.507279403
2016-08-07,564737,56.11711173399999
2016-08-08,523238,48.897676229
2016-08-09,586913,79.62670376599999
2016-08-10,616552,49.156779504
2016-08-11,659747,55.861874366
2016-08-12,662571,46.44449749899999
2016-08-13,662073,48.34662924
2016-08-14,555199,64.62214429299999
2016-08-15,551994,47.115625138
2016-08-16,596104,50.833757467
2016-08-17,602319,49.007650836
2016-08-18,619397,53.519663048
2016-08-19,625094,43.843781599
2016-08-20,613792,80.288170589
2016-08-21,558276,73.518525842
2016-08-22,508265,49.868636187
2016-08-23,546717,42.391020301
2016-08-24,574841,44.850472735
